Input #1,Input #2,Output #1,Output #2,Output #3
5x Kada Knight (R36),5x Heron (U16),1x Wither Specter (R39),1x Bambuleaf (U25),2x Falcon (R58)
5x Kada Knight (R36),5x Obsidian Defender (U18),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Salmon (U20),1x Wither Specter (R39),1x Ent (U29),2x Tide (U2)
5x Kada Knight (R36),2x Viper (U21),1x Wither Specter (R39),2x Python (R9),2x Quake (U3)
5x Kada Knight (R36),5x Praying Mantis (U22),1x Wither Specter (R39),1x Bambuleaf (U25),2x Bramble (U1)
5x Kada Knight (R36),5x Zombie Soldier (U24),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Bambuleaf (U25),1x Wither Specter (R39),1x Mochibear (U31),2x Pandarai (E4)
5x Kada Knight (R36),5x Sycophant (U27),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Seagull (U28),1x Wither Specter (R39),1x Mochibear (U31),2x Falcon (R58)
5x Kada Knight (R36),5x Ent (U29),1x Wither Specter (R39),1x Magma Slug (U32),2x Tide (U2)
5x Kada Knight (R36),5x Soul of the Alpha (U30),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Mochibear (U31),1x Wither Specter (R39),2x Pandarai (E4),2x Bambloom (R4)
5x Kada Knight (R36),5x Magma Slug (U32),1x Wither Specter (R39),1x Stridersurfer (U38),2x Tide (U2)
5x Kada Knight (R36),5x Flaming Spider (U33),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Kiwi (U34),1x Wither Specter (R39),2x Falcon (R58),2x Bramble (U1)
5x Kada Knight (R36),5x Bruiser (U36),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Stridersurfer (U38),1x Wither Specter (R39),2x Tide (U2),
5x Kada Knight (R36),2x Rana (U39),1x Wither Specter (R39),2x Quake (U3),
5x Kada Knight (R36),5x Termite (U40),1x Wither Specter (R39),2x Bramble (U1),
5x Kada Knight (R36),2x Sylvan (R1),1x Wither Specter (R39),1x Beaconmite (R7),
5x Kada Knight (R36),2x Cascade (R2),1x Wither Specter (R39),1x Piranha (R11),
5x Kada Knight (R36),2x Bolt (R3),1x Glacite Walker (R6),,
5x Kada Knight (R36),5x Bambloom (R4),1x Wither Specter (R39),1x Beaconmite (R7),2x Pandarai (E4)
5x Kada Knight (R36),2x Toad (R5),1x Wither Specter (R39),1x Piranha (R11),2x Rana (U39)
5x Kada Knight (R36),5x Glacite Walker (R6),1x Drowned (R18),,
5x Kada Knight (R36),5x Beaconmite (R7),1x Wither Specter (R39),1x Invisibug (R10),
5x Kada Knight (R36),2x Lizard King (R8),1x Wither Specter (R39),1x Piranha (R11),
5x Kada Knight (R36),2x Python (R9),1x Drowned (R18),2x King Cobra (R54),
5x Kada Knight (R36),5x Invisibug (R10),1x Wither Specter (R39),1x Dreadwing (R49),
5x Kada Knight (R36),5x Piranha (R11),1x Wither Specter (R39),1x Abyssal Lanternfish (R23),
5x Kada Knight (R36),5x Hideongeon (R13),1x Wither Specter (R39),1x Dreadwing (R49),2x Hideonring (R34)
5x Kada Knight (R36),5x Lapis Skeleton (R15),1x Drowned (R18),2x Lapis Creeper (L12),2x Skeletor (R30)
5x Kada Knight (R36),5x Cropeetle (R16),1x Wither Specter (R39),1x Dreadwing (R49),
5x Kada Knight (R36),5x Drowned (R18),1x Star Sentry (R21),,
5x Kada Knight (R36),5x Star Sentry (R21),1x Arachne (R24),,
5x Kada Knight (R36),5x Hideondra (R22),1x Wither Specter (R39),1x Dreadwing (R49),2x Hideonring (R34)
5x Kada Knight (R36),5x Abyssal Lanternfish (R23),1x Wither Specter (R39),1x Silentdepth (R29),
5x Kada Knight (R36),5x Arachne (R24),1x Revenant (R27),,
5x Kada Knight (R36),5x Bitbug (R25),1x Wither Specter (R39),1x Dreadwing (R49),
5x Kada Knight (R36),5x Revenant (R27),1x Skeletor (R30),,
5x Kada Knight (R36),5x Silentdepth (R29),1x Wither Specter (R39),1x Snowfin (R35),
5x Kada Knight (R36),5x Skeletor (R30),1x Thyst (R31),,
5x Kada Knight (R36),5x Thyst (R31),1x Wither Specter (R39),2x Troglobyte (U6),
5x Kada Knight (R36),5x Quartzfang (R33),1x Wither Specter (R39),2x Stalagmight (R51),2x Troglobyte (U6)
5x Kada Knight (R36),5x Hideonring (R34),1x Wither Specter (R39),1x Dreadwing (R49),2x Hideongift (C16)
5x Kada Knight (R36),5x Snowfin (R35),1x Wither Specter (R39),1x Carrot King (R38),
5x Kada Knight (R36),5x Kada Knight (R36),1x Wither Specter (R39),,
5x Kada Knight (R36),5x Carrot King (R38),1x Wither Specter (R39),1x Lumisquid (R44),
5x Kada Knight (R36),5x Wither Specter (R39),1x Matcho (R42),,
5x Kada Knight (R36),5x Matcho (R42),1x Crocodile (R45),,
5x Kada Knight (R36),5x Ladybug (R43),1x Wither Specter (R39),1x Dreadwing (R49),
5x Kada Knight (R36),5x Lumisquid (R44),1x Wither Specter (R39),1x Joydive (R50),
5x Kada Knight (R36),2x Crocodile (R45),1x Draconic (R57),2x Alligator (E6),
5x Kada Knight (R36),2x Bullfrog (R46),1x Wither Specter (R39),1x Joydive (R50),2x Rana (U39)
5x Kada Knight (R36),5x Dreadwing (R49),1x Wither Specter (R39),1x Fungloom (R52),
5x Kada Knight (R36),5x Joydive (R50),1x Wither Specter (R39),1x Eel (R53),
5x Kada Knight (R36),5x Stalagmight (R51),1x Draconic (R57),2x Troglobyte (U6),
5x Kada Knight (R36),5x Fungloom (R52),1x Wither Specter (R39),2x Troglobyte (U6),
5x Kada Knight (R36),2x Eel (R53),1x Wither Specter (R39),1x Lava Flame (R56),
5x Kada Knight (R36),2x King Cobra (R54),1x Draconic (R57),2x Basilisk (E9),
5x Kada Knight (R36),5x Lava Flame (R56),1x Wither Specter (R39),1x Inferno Koi (R59),
5x Kada Knight (R36),5x Draconic (R57),1x Wither (R60),,
5x Kada Knight (R36),5x Falcon (R58),1x Wither Specter (R39),2x Kiwi (U34),2x Harpy (C24)
5x Kada Knight (R36),5x Inferno Koi (R59),1x Wither Specter (R39),,
5x Kada Knight (R36),2x Gecko (R61),1x Wither Specter (R39),,
5x Kada Knight (R36),2x Terra (E1),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),2x Cryo (E2),1x Wither Specter (R39),1x Water Hydra (E17),2x Bolt (R3)
5x Kada Knight (R36),2x Aero (E3),1x Thorn (E12),2x Bolt (R3),
5x Kada Knight (R36),5x Pandarai (E4),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),2x Leviathan (E5),1x Wither Specter (R39),1x Water Hydra (E17),2x Bolt (R3)
5x Kada Knight (R36),2x Alligator (E6),1x Thorn (E12),2x Caiman (E30),2x Bolt (R3)
5x Kada Knight (R36),2x Fenlord (E7),1x Wither Specter (R39),1x Water Hydra (E17),2x Bolt (R3)
5x Kada Knight (R36),2x Basilisk (E9),1x Thorn (E12),2x Bolt (R3),
5x Kada Knight (R36),2x Iguana (E10),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),2x Moray Eel (E11),1x Wither Specter (R39),1x Water Hydra (E17),2x Bolt (R3)
5x Kada Knight (R36),5x Thorn (E12),1x Bal (E15),2x Bolt (R3),
5x Kada Knight (R36),5x Lunar Moth (E13),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),2x Fire Eel (E14),1x Wither Specter (R39),1x Water Hydra (E17),2x Bolt (R3)
5x Kada Knight (R36),5x Bal (E15),1x Flare (E18),2x Bolt (R3),2x Troglobyte (U6)
5x Kada Knight (R36),5x Hideonsack (E16),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),5x Water Hydra (E17),1x Wither Specter (R39),1x Sea Emperor (E20),2x Bolt (R3)
5x Kada Knight (R36),5x Flare (E18),1x Prince (E21),2x Bolt (R3),
5x Kada Knight (R36),5x Sea Emperor (E20),1x Wither Specter (R39),1x Shellwise (E26),2x Bolt (R3)
5x Kada Knight (R36),5x Prince (E21),1x Mimic (E24),2x Bolt (R3),
5x Kada Knight (R36),2x Komodo Dragon (E22),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),5x Mimic (E24),1x Barbarian Duke X (E27),2x Bolt (R3),
5x Kada Knight (R36),2x Shellwise (E26),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Barbarian Duke X (E27),1x Hellwisp (E29),2x Bolt (R3),
5x Kada Knight (R36),5x Toucan (E28),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),5x Hellwisp (E29),1x Ghost (E33),2x Bolt (R3),
5x Kada Knight (R36),2x Caiman (E30),1x Ghost (E33),2x Bolt (R3),
5x Kada Knight (R36),5x Firefly (E31),1x Wither Specter (R39),1x XYZ (E34),2x Bolt (R3)
5x Kada Knight (R36),2x Sea Serpent (E32),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Ghost (E33),2x Bolt (R3),2x Troglobyte (U6),
5x Kada Knight (R36),5x XYZ (E34),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),2x Leatherback (E35),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Cavernshade (E36),2x Bolt (R3),2x Troglobyte (U6),
5x Kada Knight (R36),5x Dragonfly (E37),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),2x Tenebris (L1),1x Wither Specter (R39),1x Cinderbat (L28),2x Bolt (R3)
5x Kada Knight (R36),2x Blizzard (L2),1x Wither Specter (R39),1x Spike (L14),2x Bolt (R3)
5x Kada Knight (R36),2x Tempest (L3),1x Endstone Protector (L9),2x Bolt (R3),
5x Kada Knight (R36),2x Chameleon (L4),1x Terra (E1),1x Carrot King (R38),1x Wither Specter (R39)
5x Kada Knight (R36),2x Tiamat (L6),1x Endstone Protector (L9),2x Bolt (R3),
5x Kada Knight (R36),2x Wyvern (L7),1x Wither Specter (R39),1x Cinderbat (L28),2x Bolt (R3)
5x Kada Knight (R36),2x Tortoise (L8),1x Wither Specter (R39),1x Spike (L14),2x Bolt (R3)
5x Kada Knight (R36),5x Endstone Protector (L9),1x Kraken (L15),2x Bolt (R3),
5x Kada Knight (R36),2x Naga (L11),1x Wither Specter (R39),1x Spike (L14),2x Bolt (R3)
5x Kada Knight (R36),5x Lapis Creeper (L12),1x Kraken (L15),2x Bolt (R3),
5x Kada Knight (R36),5x Wartybug (L13),1x Wither Specter (R39),1x Cinderbat (L28),2x Bolt (R3)
5x Kada Knight (R36),5x Spike (L14),1x Wither Specter (R39),1x Taurus (L17),2x Bolt (R3)
5x Kada Knight (R36),5x Kraken (L15),1x Burningsoul (L27),2x Bolt (R3),
5x Kada Knight (R36),5x Taurus (L17),1x Wither Specter (R39),1x Shinyfish (L23),2x Bolt (R3)
5x Kada Knight (R36),5x Daemon (L18),1x Burningsoul (L27),2x Bolt (R3),
5x Kada Knight (R36),5x Moltenfish (L20),1x Wither Specter (R39),1x Shinyfish (L23),2x Bolt (R3)
5x Kada Knight (R36),5x Shinyfish (L23),1x Wither Specter (R39),1x Lord Jawbus (L26),2x Bolt (R3)
5x Kada Knight (R36),5x Ananke (L24),1x Burningsoul (L27),2x Bolt (R3),2x Falcon (R58)
5x Kada Knight (R36),5x Hideonbox (L25),1x Wither Specter (R39),1x Cinderbat (L28),2x Bolt (R3)
5x Kada Knight (R36),5x Lord Jawbus (L26),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Burningsoul (L27),1x Power Dragon (L30),2x Bolt (R3),
5x Kada Knight (R36),5x Cinderbat (L28),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),2x Megalith (L29),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Power Dragon (L30),1x Apex Dragon (L33),2x Bolt (R3),
5x Kada Knight (R36),5x Condor (L31),1x Wither Specter (R39),2x Bolt (R3),2x Falcon (R58)
5x Kada Knight (R36),5x Sun Fish (L32),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Apex Dragon (L33),2x Bolt (R3),,
5x Kada Knight (R36),5x Dodo (L34),1x Wither Specter (R39),2x Bolt (R3),2x Falcon (R58)
5x Kada Knight (R36),5x Jormung (L36),2x Bolt (R3),,
5x Kada Knight (R36),5x Etherdrake (L39),2x Bolt (R3),,
5x Kada Knight (R36),5x Galaxy Fish (L41),1x Wither Specter (R39),2x Bolt (R3),
5x Kada Knight (R36),5x Molthorn (L42),2x Bolt (R3),,
5x Kada Knight (R36),2x Starborn (L44),2x Bolt (R3),,
5x Carrot King (R38),2x Grove (C1),1x Lumisquid (R44),1x Phanpyre (C4),
5x Carrot King (R38),2x Mist (C2),1x Lumisquid (R44),,
5x Carrot King (R38),2x Flash (C3),1x Lumisquid (R44),1x Lapis Zombie (C9),
5x Carrot King (R38),5x Phanpyre (C4),1x Lumisquid (R44),1x Phanflare (C7),2x Dreadwing (R49)
5x Carrot King (R38),5x Cod (C5),1x Lumisquid (R44),2x Mist (C2),
5x Carrot King (R38),5x Phanflare (C7),1x Lumisquid (R44),1x Hideonleaf (C10),2x Dreadwing (R49)
5x Carrot King (R38),5x Night Squid (C8),1x Lumisquid (R44),2x Mist (C2),
5x Carrot King (R38),5x Lapis Zombie (C9),1x Lumisquid (R44),1x Chill (C12),2x Lapis Skeleton (R15)
5x Carrot King (R38),5x Hideonleaf (C10),1x Lumisquid (R44),1x Mudworm (C25),2x Grove (C1)
5x Carrot King (R38),5x Verdant (C11),1x Lumisquid (R44),2x Mist (C2),
5x Carrot King (R38),5x Chill (C12),1x Lumisquid (R44),1x Voracious Spider (C15),2x Flash (C3)
5x Carrot King (R38),5x Sea Archer (C14),1x Lumisquid (R44),2x Mist (C2),
5x Carrot King (R38),5x Voracious Spider (C15),1x Lumisquid (R44),1x Tank Zombie (C18),2x Flash (C3)
5x Carrot King (R38),5x Hideongift (C16),1x Lumisquid (R44),1x Mudworm (C25),2x Grove (C1)
5x Carrot King (R38),5x Birries (C17),1x Lumisquid (R44),2x Mist (C2),
5x Carrot King (R38),5x Tank Zombie (C18),1x Lumisquid (R44),1x Zealot (C21),2x Flash (C3)
5x Carrot King (R38),5x Crow (C19),1x Lumisquid (R44),1x Mudworm (C25),2x Falcon (R58)
5x Carrot King (R38),2x Tadgang (C20),1x Lumisquid (R44),2x Mist (C2),
5x Carrot King (R38),5x Zealot (C21),1x Lumisquid (R44),1x Golden Ghoul (C27),2x Flash (C3)
5x Carrot King (R38),5x Coralot (C23),1x Lumisquid (R44),2x Mist (C2),2x Newt (C35)
5x Carrot King (R38),5x Harpy (C24),1x Lumisquid (R44),1x Golden Ghoul (C27),2x Falcon (R58)
5x Carrot King (R38),5x Mudworm (C25),1x Lumisquid (R44),2x Grove (C1),
5x Carrot King (R38),5x Golden Ghoul (C27),1x Lumisquid (R44),1x Azure (C29),1x Goldfin (U5)
5x Carrot King (R38),5x Azure (C29),1x Lumisquid (R44),1x Bezal (C30),2x Flash (C3)
5x Carrot King (R38),5x Bezal (C30),1x Lumisquid (R44),1x Yog (C33),2x Flash (C3)
5x Carrot King (R38),5x Yog (C33),1x Lumisquid (R44),1x Miner Zombie (C36),2x Flash (C3)
5x Carrot King (R38),5x Boreal Owl (C34),1x Lumisquid (R44),2x Falcon (R58),2x Kiwi (U34)
5x Carrot King (R38),2x Newt (C35),1x Lumisquid (R44),2x Leviathan (E5),2x Lizard King (R8)
5x Carrot King (R38),5x Miner Zombie (C36),1x Lumisquid (R44),2x Flash (C3),
5x Carrot King (R38),2x Bramble (U1),1x Lumisquid (R44),1x Pest (U10),
5x Carrot King (R38),2x Tide (U2),1x Lumisquid (R44),,
5x Carrot King (R38),2x Quake (U3),1x Lumisquid (R44),1x Rain Slime (U12),
5x Carrot King (R38),5x Sparrow (U4),1x Lumisquid (R44),1x Pest (U10),2x Falcon (R58)
5x Carrot King (R38),5x Goldfin (U5),1x Lumisquid (R44),2x Tide (U2),
5x Carrot King (R38),5x Troglobyte (U6),1x Lumisquid (R44),1x Rain Slime (U12),2x Quartzfang (R33)
5x Carrot King (R38),5x Hideoncave (U7),1x Lumisquid (R44),1x Pest (U10),2x Bramble (U1)
5x Carrot King (R38),2x Salamander (U8),1x Lumisquid (R44),2x Leviathan (E5),2x Lizard King (R8)
5x Carrot King (R38),2x Cuboa (U9),1x Lumisquid (R44),1x Rain Slime (U12),2x Quake (U3)
5x Carrot King (R38),5x Pest (U10),1x Lumisquid (R44),1x Bambuleaf (U25),2x Bramble (U1)
5x Carrot King (R38),2x Mossybit (U11),1x Lumisquid (R44),2x Tide (U2),
5x Carrot King (R38),5x Rain Slime (U12),1x Lumisquid (R44),1x Seer (U15),2x Quake (U3)
5x Carrot King (R38),5x Seer (U15),1x Lumisquid (R44),1x Obsidian Defender (U18),2x Quake (U3)
5x Carrot King (R38),5x Heron (U16),1x Lumisquid (R44),1x Bambuleaf (U25),2x Falcon (R58)
5x Carrot King (R38),5x Obsidian Defender (U18),1x Lumisquid (R44),1x Zombie Soldier (U24),2x Quake (U3)
5x Carrot King (R38),5x Salmon (U20),1x Lumisquid (R44),2x Tide (U2),
5x Carrot King (R38),2x Viper (U21),1x Lumisquid (R44),1x Zombie Soldier (U24),2x Quake (U3)
5x Carrot King (R38),5x Praying Mantis (U22),1x Lumisquid (R44),1x Bambuleaf (U25),2x Bramble (U1)
5x Carrot King (R38),5x Zombie Soldier (U24),1x Lumisquid (R44),1x Sycophant (U27),2x Quake (U3)
5x Carrot King (R38),5x Bambuleaf (U25),1x Lumisquid (R44),1x Mochibear (U31),2x Pandarai (E4)
5x Carrot King (R38),5x Sycophant (U27),1x Lumisquid (R44),1x Soul of the Alpha (U30),2x Quake (U3)
5x Carrot King (R38),5x Seagull (U28),1x Lumisquid (R44),1x Mochibear (U31),2x Falcon (R58)
5x Carrot King (R38),5x Ent (U29),1x Lumisquid (R44),2x Tide (U2),
5x Carrot King (R38),5x Soul of the Alpha (U30),1x Lumisquid (R44),1x Flaming Spider (U33),2x Quake (U3)
5x Carrot King (R38),5x Mochibear (U31),1x Lumisquid (R44),2x Pandarai (E4),2x Bambloom (R4)
5x Carrot King (R38),5x Magma Slug (U32),1x Lumisquid (R44),2x Tide (U2),
5x Carrot King (R38),5x Flaming Spider (U33),1x Lumisquid (R44),1x Bruiser (U36),2x Quake (U3)
5x Carrot King (R38),5x Kiwi (U34),1x Lumisquid (R44),2x Falcon (R58),2x Bramble (U1)
5x Carrot King (R38),5x Bruiser (U36),1x Lumisquid (R44),2x Quake (U3),
5x Carrot King (R38),5x Stridersurfer (U38),1x Lumisquid (R44),2x Tide (U2),
5x Carrot King (R38),2x Rana (U39),1x Lumisquid (R44),2x Quake (U3),
5x Carrot King (R38),5x Termite (U40),1x Lumisquid (R44),2x Bramble (U1),
5x Carrot King (R38),2x Sylvan (R1),1x Lumisquid (R44),1x Beaconmite (R7),
5x Carrot King (R38),2x Cascade (R2),1x Piranha (R11),,
5x Carrot King (R38),2x Bolt (R3),1x Lumisquid (R44),1x Glacite Walker (R6),
5x Carrot King (R38),5x Bambloom (R4),1x Lumisquid (R44),1x Beaconmite (R7),2x Pandarai (E4)
5x Carrot King (R38),2x Toad (R5),1x Piranha (R11),,
5x Carrot King (R38),5x Glacite Walker (R6),1x Lumisquid (R44),1x Drowned (R18),
5x Carrot King (R38),5x Beaconmite (R7),1x Lumisquid (R44),1x Invisibug (R10),
5x Carrot King (R38),2x Lizard King (R8),1x Piranha (R11),2x Leviathan (E5),2x Salamander (U8)
5x Carrot King (R38),2x Python (R9),1x Lumisquid (R44),1x Drowned (R18),
5x Carrot King (R38),5x Invisibug (R10),1x Lumisquid (R44),1x Dreadwing (R49),
5x Carrot King (R38),5x Piranha (R11),1x Abyssal Lanternfish (R23),,
5x Carrot King (R38),5x Hideongeon (R13),1x Lumisquid (R44),1x Dreadwing (R49),2x Hideonring (R34)
5x Carrot King (R38),5x Lapis Skeleton (R15),1x Lumisquid (R44),1x Drowned (R18),2x Lapis Creeper (L12)
5x Carrot King (R38),5x Cropeetle (R16),1x Lumisquid (R44),1x Dreadwing (R49),
5x Carrot King (R38),5x Drowned (R18),1x Lumisquid (R44),1x Star Sentry (R21),
5x Carrot King (R38),5x Star Sentry (R21),1x Lumisquid (R44),1x Arachne (R24),
5x Carrot King (R38),5x Hideondra (R22),1x Lumisquid (R44),1x Dreadwing (R49),2x Hideonring (R34)
5x Carrot King (R38),5x Abyssal Lanternfish (R23),1x Silentdepth (R29),,
5x Carrot King (R38),5x Arachne (R24),1x Lumisquid (R44),1x Revenant (R27),
5x Carrot King (R38),5x Bitbug (R25),1x Lumisquid (R44),1x Dreadwing (R49),
5x Carrot King (R38),5x Revenant (R27),1x Lumisquid (R44),1x Skeletor (R30),
5x Carrot King (R38),5x Silentdepth (R29),1x Snowfin (R35),,
5x Carrot King (R38),5x Skeletor (R30),1x Lumisquid (R44),1x Thyst (R31),
5x Carrot King (R38),5x Thyst (R31),1x Lumisquid (R44),1x Kada Knight (R36),
5x Carrot King (R38),5x Quartzfang (R33),1x Lumisquid (R44),1x Kada Knight (R36),2x Stalagmight (R51)
5x Carrot King (R38),5x Hideonring (R34),1x Lumisquid (R44),1x Dreadwing (R49),2x Hideongift (C16)
5x Carrot King (R38),5x Snowfin (R35),1x Lumisquid (R44),,
5x Carrot King (R38),5x Kada Knight (R36),1x Lumisquid (R44),1x Wither Specter (R39),
5x Carrot King (R38),5x Carrot King (R38),1x Lumisquid (R44),,
5x Carrot King (R38),5x Wither Specter (R39),1x Lumisquid (R44),1x Matcho (R42),
5x Carrot King (R38),5x Matcho (R42),1x Lumisquid (R44),1x Crocodile (R45),
5x Carrot King (R38),5x Ladybug (R43),1x Lumisquid (R44),1x Dreadwing (R49),
5x Carrot King (R38),5x Lumisquid (R44),1x Joydive (R50),,
5x Carrot King (R38),2x Crocodile (R45),1x Lumisquid (R44),1x Draconic (R57),
5x Carrot King (R38),2x Bullfrog (R46),1x Joydive (R50),,
5x Carrot King (R38),5x Dreadwing (R49),1x Lumisquid (R44),1x Fungloom (R52),
5x Carrot King (R38),5x Joydive (R50),1x Eel (R53),,
5x Carrot King (R38),5x Stalagmight (R51),1x Lumisquid (R44),1x Draconic (R57),
5x Carrot King (R38),5x Fungloom (R52),1x Lumisquid (R44),,
5x Carrot King (R38),2x Eel (R53),1x Lava Flame (R56),2x Moray Eel (E11),
5x Carrot King (R38),2x King Cobra (R54),1x Lumisquid (R44),1x Draconic (R57),
5x Carrot King (R38),5x Lava Flame (R56),1x Inferno Koi (R59),,
5x Carrot King (R38),5x Draconic (R57),1x Lumisquid (R44),1x Wither (R60),
5x Carrot King (R38),5x Falcon (R58),1x Lumisquid (R44),2x Kiwi (U34),2x Boreal Owl (C34)
5x Carrot King (R38),5x Wither (R60),1x Lumisquid (R44),,
5x Carrot King (R38),2x Gecko (R61),1x Lumisquid (R44),,
5x Carrot King (R38),2x Terra (E1),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),2x Cryo (E2),1x Water Hydra (E17),2x Cascade (R2),
5x Carrot King (R38),2x Aero (E3),1x Lumisquid (R44),1x Thorn (E12),2x Cascade (R2)
5x Carrot King (R38),5x Pandarai (E4),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),2x Leviathan (E5),1x Water Hydra (E17),2x Cascade (R2),2x Lizard King (R8)
5x Carrot King (R38),2x Alligator (E6),1x Lumisquid (R44),1x Thorn (E12),2x Cascade (R2)
5x Carrot King (R38),2x Fenlord (E7),1x Water Hydra (E17),2x Cascade (R2),
5x Carrot King (R38),2x Basilisk (E9),1x Lumisquid (R44),1x Thorn (E12),2x Cascade (R2)
5x Carrot King (R38),2x Iguana (E10),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),2x Moray Eel (E11),1x Water Hydra (E17),2x Sea Serpent (E32),2x Cascade (R2)
5x Carrot King (R38),5x Thorn (E12),1x Lumisquid (R44),1x Bal (E15),2x Cascade (R2)
5x Carrot King (R38),5x Lunar Moth (E13),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),2x Fire Eel (E14),1x Water Hydra (E17),2x Cascade (R2),
5x Carrot King (R38),5x Bal (E15),1x Lumisquid (R44),1x Flare (E18),2x Cascade (R2)
5x Carrot King (R38),5x Hideonsack (E16),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),5x Water Hydra (E17),1x Sea Emperor (E20),2x Cascade (R2),
5x Carrot King (R38),5x Flare (E18),1x Lumisquid (R44),1x Prince (E21),2x Cascade (R2)
5x Carrot King (R38),5x Sea Emperor (E20),1x Shellwise (E26),2x Cascade (R2),
5x Carrot King (R38),5x Prince (E21),1x Lumisquid (R44),1x Mimic (E24),2x Cascade (R2)
5x Carrot King (R38),2x Komodo Dragon (E22),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),5x Mimic (E24),1x Lumisquid (R44),1x Barbarian Duke X (E27),2x Cascade (R2)
5x Carrot King (R38),2x Shellwise (E26),2x Leatherback (E35),2x Cascade (R2),
5x Carrot King (R38),5x Barbarian Duke X (E27),1x Lumisquid (R44),1x Hellwisp (E29),2x Cascade (R2)
5x Carrot King (R38),5x Toucan (E28),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),5x Hellwisp (E29),1x Lumisquid (R44),1x Ghost (E33),2x Cascade (R2)
5x Carrot King (R38),2x Caiman (E30),1x Lumisquid (R44),1x Ghost (E33),2x Cascade (R2)
5x Carrot King (R38),5x Firefly (E31),1x Lumisquid (R44),1x XYZ (E34),2x Cascade (R2)
5x Carrot King (R38),2x Sea Serpent (E32),2x Cascade (R2),,
5x Carrot King (R38),5x Ghost (E33),1x Lumisquid (R44),2x Cascade (R2),
5x Carrot King (R38),5x XYZ (E34),1x Lumisquid (R44),2x Cascade (R2),
5x Carrot King (R38),2x Leatherback (E35),2x Cascade (R2),,
5x Carrot King (R38),5x Cavernshade (E36),1x Lumisquid (R44),2x Cascade (R2),
5x Carrot King (R38),5x Dragonfly (E37),1x Lumisquid (R44),2x Cascade (R2),
5x Carrot King (R38),2x Tenebris (L1),1x Lumisquid (R44),1x Cinderbat (L28),2x Cascade (R2)
5x Carrot King (R38),2x Blizzard (L2),1x Spike (L14),2x Cascade (R2),
5x Carrot King (R38),2x Tempest (L3),1x Lumisquid (R44),1x Endstone Protector (L9),2x Cascade (R2)
5x Carrot King (R38),2x Chameleon (L4),1x Wither Specter (R39),1x Terra (E1),1x Cryo (E2)
5x Carrot King (R38),2x Tiamat (L6),1x Lumisquid (R44),1x Endstone Protector (L9),2x Cascade (R2)
5x Carrot King (R38),2x Wyvern (L7),1x Lumisquid (R44),1x Cinderbat (L28),2x Cascade (R2)
5x Carrot King (R38),2x Tortoise (L8),1x Spike (L14),2x Cascade (R2),
5x Carrot King (R38),5x Endstone Protector (L9),1x Lumisquid (R44),1x Kraken (L15),2x Cascade (R2)
5x Carrot King (R38),2x Naga (L11),1x Spike (L14),2x Cascade (R2),
5x Carrot King (R38),5x Lapis Creeper (L12),1x Lumisquid (R44),1x Kraken (L15),2x Cascade (R2)
5x Carrot King (R38),5x Wartybug (L13),1x Lumisquid (R44),1x Cinderbat (L28),2x Cascade (R2)
5x Carrot King (R38),5x Spike (L14),1x Taurus (L17),2x Cascade (R2),
